_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
80,Hawaii Island; Online,Hawaii Community College,Higher Education,Broadband Availability; Device Availability; Digital Literacy,,x,,,,,x,,x,"Internet and computer access at your location; digital literacy training at entry-level (basic skills and software/hardware introduction), intermediate (Google suite, commonly used platforms), advanced (coding, website/graphic design, video editing), specialized (e.g. UX/UI design, AI, GIS, industry specific programs) levels.",https://hawaii.hawaii.edu/,"1175 Manono Street
Hilo, HI 96720-5096"
81,Kauaʻi,County of Kauaʻi,County ,,x,x,x,x,x,x,x,x,x,The County of Kauaʻi provides workforce development resources through their educational partners and referrals to partner agencies. They also have resources to assist residents with unemployment and job applications. ,https://www.kauai.gov/Home,
82,Kauaʻi,Eleele Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.eleeleschool.k12.hi.us,"4750 Uliuli Road, Eleele, HI 96705"
83,Kauaʻi,Hanalei Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.hanalei.k12.hi.us,"5-5415 Kuhio Highway, Hanalei, HI 96714"
84,Kauaʻi,Hanapepe Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"4490 Kona Road, Hanapepe, HI 96716, United States"
85,Kauaʻi,"Hō’ike: Kaua’i Community Television, Inc.",Non-profit,Broadband Availability; Digital Literacy; potential CAI,1,1,1,1,1,1,1,1,1,"Public, Educational, and Governmental (PEG) access non-profit organization that provides an avenue to create and cableast community access, educational, and governmental video content on cable TV.  Offers workshops to advance digital literacy skills in video production. Also disseminates information through newsletter.",https://www.hoike.org/,4318 Rice Street                              Lihue HI 96766
86,Kauaʻi,Kalaheo Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kalaheoschool.com,"4400 Maka Road, Kalaheo, HI 96741"
87,Kauaʻi,Kamakahelei Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.ckms.k12.hi.us,"4431 Nuhou St., Lihue, HI 96766"
88,Kauaʻi,Kanuikapono PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://kanuikapono.org,"4333 Kukuihale Road, Anahola, HI 96703"
89,Kauaʻi,Kapaa Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kapaaes.k12.hi.us,"4886 Kawaihau Road, Kapaa, HI 96746"
90,Kauaʻi,Kapaa High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://kapaahighschool.net,"4695 Mailihuna Road, Kapaa, HI 96746"
